Municipio,Poblacion,Pobreza,AguaPotable,Casos,casosxmilhabs,promedio_habsxviv
ACATIC,21206,10.42,79.73,0,0.0,4.01732343422806
ACATLÁN DE JUÁREZ,23241,2.18,97.68,5,0.2151370422959425,4.023377594913035
AHUALULCO DE MERCADO,21714,3.78,98.27,0,0.0,3.824175824175824
AMACUECA,5545,5.5,98.55,1,0.18034265103697025,3.8850248403122785
AMATITÁN,14648,3.23,95.39,0,0.0,4.210495795882864
AMECA,57340,6.37,95.03,1,0.017439832577607253,3.668283220174588
ARANDAS,72812,13.71,82.98,0,0.0,4.00885054272196
ATEMAJAC DE BRIZUELA,6655,15.99,94.9,0,0.0,4.518492672714585
ATENGO,4918,12.02,96.41,0,0.0,3.841648590021692
ATENGUILLO,4107,5.32,93.98,0,0.0,3.469439728353141
ATOTONILCO EL ALTO,57717,7.25,89.53,0,0.0,4.028312570781427
ATOYAC,8276,9.2,96.67,11,1.3291445142580958,3.6213808463251667
AUTLÁN DE NAVARRO,57559,4.72,95.35,18,0.3127225976823781,3.782530481710973
AYOTLÁN,38291,15.73,98.36,0,0.0,4.1654549460233525
AYUTLA,12664,16.52,90.89,1,0.07896399241945673,3.8577599506325213
BOLAÑOS,6820,28.8,48.34,0,0.0,4.569145239749826
CABO CORRIENTES,10029,12.32,57.53,7,0.6979758699770665,3.809761721752498
CAÑADAS DE OBREGÓN,4152,8.62,84.05,0,0.0,3.3990107172300084
CASIMIRO CASTILLO,21475,6.46,95.96,63,2.933643771827706,3.694988728975204
CHAPALA,48839,5.45,98.15,1,0.020475439710067773,3.7907963185274114
CHIMALTITÁN,3771,24.04,50.1,0,0.0,4.084708470847085
CHIQUILISTLÁN,5814,21.81,99.07,0,0.0,4.272184936614467
CIHUATLÁN,39020,10.92,89.47,123,3.1522296258329066,3.7617410100216153
COCULA,26174,4.51,97.62,0,0.0,3.814069613746512
COLOTLÁN,18091,4.88,97.47,0,0.0,3.8263191625721
CONCEPCIÓN DE BUENOS AIRES,5933,6.32,99.04,0,0.0,3.641532756489493
CUAUTITLÁN DE GARCÍA BARRAGÁN,17322,26.13,88.26,44,2.5401223877150447,4.050271418456455
CUAUTLA,2171,8.24,91.3,0,0.0,3.7003424657534247
CUQUÍO,17795,15.59,38.91,0,0.0,3.9467535385306673
DEGOLLADO,21132,10.24,95.26,0,0.0,3.990492489066362
EJUTLA,2082,2.36,95.22,0,0.0,3.3267651888341545
EL ARENAL,17545,4.45,94.91,0,0.0,4.1390503875969
EL GRULLO,23845,7.42,88.71,56,2.3485007339064787,3.7460749759692407
EL LIMÓN,5499,1.9,97.9,6,1.0911074740861977,3.1495381062355663
EL SALTO,138226,7.52,89.84,0,0.0,4.244439585155567
ENCARNACIÓN DE DÍAZ,51396,11.79,89.19,0,0.0,4.078266442361612
ETZATLÁN,18632,5.44,97.08,0,0.0,3.935924818453653
GÓMEZ FARÍAS,14011,9.51,97.72,0,0.0,4.26158631415241
GUACHINANGO,4323,7.98,84.28,0,0.0,3.5374485596707816
GUADALAJARA,1495189,2.05,99.11,124,0.08293265934942004,3.8981841151239163
HOSTOTIPAQUILLO,10284,14.49,86.47,1,0.0972384286269934,4.182905225863596
HUEJÚCAR,6084,6.63,96.72,0,0.0,3.474498567335244
HUEJUQUILLA EL ALTO,8781,11.86,85.2,0,0.0,4.0481984089845575
IXTLAHUACÁN DE LOS MEMBRILLOS,41060,4.26,93.59,0,0.0,3.892168099331423
IXTLAHUACÁN DEL RÍO,19005,15.42,59.04,1,0.052617732175743226,3.95245077503142
JALOSTOTITLÁN,31948,12.78,88.25,0,0.0,4.155928175336678
JAMAY,22881,6.45,99.26,0,0.0,4.10931247726446
JESÚS MARÍA,18634,14.24,90.62,0,0.0,3.9835746704127946
JILOTLÁN DE LOS DOLORES,9545,25.06,66.19,1,0.10476689366160294,3.8748461222814936
JOCOTEPEC,42164,13.29,95.46,0,0.0,4.374444564863986
JUANACATLÁN,13218,4.32,96.0,0,0.0,4.059206447613144
JUCHITLÁN,5515,4.4,94.18,0,0.0,3.661517797179315
LA BARCA,64269,6.96,97.93,1,0.015559601051829032,4.081674718196457
LA HUERTA,23428,7.05,92.41,29,1.237835069148028,3.670449172576832
LA MANZANILLA DE LA PAZ,3755,6.01,97.15,0,0.0,3.535916824196597
LAGOS DE MORENO,153817,6.04,89.78,0,0.0,4.21043982061781
MAGDALENA,18924,5.2,97.64,1,0.0528429507503699,4.17759617301176
MASCOTA,14045,5.18,89.74,0,0.0,3.6581552892131315
MAZAMITLA,13225,8.13,90.92,0,0.0,3.971585701191567
MEXTICACÁN,2723,6.52,87.88,0,0.0,3.490412550842533
MEZQUITIC,18084,40.68,51.52,0,0.0,4.687433155080214
MIXTLÁN,3574,9.61,92.58,0,0.0,3.760042283298097
OCOTLÁN,92967,3.77,91.11,0,0.0,3.9823270796152
